departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
HKT,Thailand,ICN,South Korea,Airbus A330-Unspecified,212,8.1132,98.3169,37.4633,126.44
BOM,India,SIN,Singapore,Airbus A380-800,212,19.0887,72.8679,1.35019,103.994
SIN,Singapore,BOM,India,Airbus A380-800,212,1.35019,103.994,19.0887,72.8679
PEK,China,LHR,United Kingdom,Boeing B747-400,211,40.0725,116.598,51.4775,-0.461389
PEK,China,DXB,United Arab Emirates,Airbus A330-300,211,40.0725,116.598,25.2528,55.3644
ICN,South Korea,HKT,Thailand,Airbus A330-Unspecified,211,37.4633,126.44,8.1132,98.3169
TPE,Taiwan,FRA,Germany,Boeing B747-400,211,25.0777,121.233,50.0333,8.57056
PEK,China,FRA,Germany,Airbus A380-800,211,40.0725,116.598,50.0333,8.57056
CJU,South Korea,PEK,China,Airbus A330-300,210,33.5113,126.493,40.0725,116.598
KIX,Japan,FCO,Italy,Airbus A330-Unspecified,210,34.4305,135.23,41.8003,12.2389
PUS,South Korea,PEK,China,Airbus A330-300,210,35.1795,128.938,40.0725,116.598
DXB,United Arab Emirates,PEK,China,Airbus A330-300,210,25.2528,55.3644,40.0725,116.598
PEK,China,CJU,South Korea,Airbus A330-300,210,40.0725,116.598,33.5113,126.493
MED,Saudi Arabia,DXB,United Arab Emirates,Boeing B777-300ER,210,24.5534,39.7051,25.2528,55.3644
DXB,United Arab Emirates,FRA,Germany,Airbus A340-300,210,25.2528,55.3644,50.0333,8.57056
HND,Japan,FRA,Germany,Boeing B747-400,210,35.5533,139.781,50.0333,8.57056
BKK,Thailand,FRA,Germany,Airbus A340-300,210,13.6811,100.747,50.0333,8.57056
AUH,United Arab Emirates,NRT,Japan,Airbus A330-200,210,24.433,54.6511,35.7653,140.386
PEK,China,PUS,South Korea,Airbus A330-300,210,40.0725,116.598,35.1795,128.938
NKG,China,SIN,Singapore,Boeing B777-200/200ER,209,31.742,118.862,1.35019,103.994
SIN,Singapore,NKG,China,Boeing B777-200/200ER,209,1.35019,103.994,31.742,118.862
NRT,Japan,XMN,China,Boeing B767F-Unspecified,208,35.7653,140.386,24.544,118.128
SGN,Vietnam,DXB,United Arab Emirates,Boeing B777-200/200ER,208,10.8188,106.652,25.2528,55.3644
DEL,India,BHX,United Kingdom,Boeing B787-8,208,28.5665,77.1031,52.4539,-1.74803
DXB,United Arab Emirates,SGN,Vietnam,Boeing B777-200/200ER,208,25.2528,55.3644,10.8188,106.652
JED,Saudi Arabia,BOM,India,Boeing B777-300ER,208,21.6796,39.1565,19.0887,72.8679
CAN,China,OKA,Japan,Boeing B767F-Unspecified,207,23.3924,113.299,26.1958,127.646
TPE,Taiwan,NRT,Japan,Boeing B747-400F,207,25.0777,121.233,35.7653,140.386
TPE,Taiwan,CDG,France,Boeing B777-300ER,207,25.0777,121.233,49.0097,2.54778
TPE,Taiwan,HKD,Japan,Airbus A330-200,207,25.0777,121.233,41.77,140.822
DEL,India,MUC,Germany,Airbus A330-300,207,28.5665,77.1031,48.3538,11.7861
